State,Currency,Year,Median Income/Standard Error,USD$
Indiana,CURRENT DOLLARS,2007,"Median
income",47453
Indiana,CURRENT DOLLARS,2007,"Standard
error",1255
Indiana,CURRENT DOLLARS,2008,"Median
income",46520
Indiana,CURRENT DOLLARS,2008,"Standard
error",1185
Indiana,CURRENT DOLLARS,2011,"Median
income",44445
Indiana,CURRENT DOLLARS,2011,"Standard
error",2309
Indiana,CURRENT DOLLARS,2012,"Median
income",46158
Indiana,CURRENT DOLLARS,2012,"Standard
error",1787
Indiana,CURRENT DOLLARS,2014,"Median
income",48060
Indiana,CURRENT DOLLARS,2014,"Standard
error",1943
Indiana,CURRENT DOLLARS,2015,"Median
income",51983
Indiana,CURRENT DOLLARS,2015,"Standard
error",1682
Indiana,CURRENT DOLLARS,2016,"Median
income",56094
Indiana,CURRENT DOLLARS,2016,"Standard
error",2877
Indiana,CURRENT DOLLARS,2017,"Median
income",58873
Indiana,CURRENT DOLLARS,2017,"Standard
error",2026
Indiana,CURRENT DOLLARS,1984 ,"Median
income",22770
Indiana,CURRENT DOLLARS,1984 ,"Standard
error",710
Indiana,CURRENT DOLLARS,1985 ,"Median
income",22675
Indiana,CURRENT DOLLARS,1985 ,"Standard
error",626
Indiana,CURRENT DOLLARS,1987 ,"Median
income",22519
Indiana,CURRENT DOLLARS,1987 ,"Standard
error",944
Indiana,CURRENT DOLLARS,1992 ,"Median
income",28530
Indiana,CURRENT DOLLARS,1992 ,"Standard
error",1315
Indiana,CURRENT DOLLARS,1993 ,"Median
income",29475
Indiana,CURRENT DOLLARS,1993 ,"Standard
error",1361
Indiana,CURRENT DOLLARS,1994 ,"Median
income",27858
Indiana,CURRENT DOLLARS,1994 ,"Standard
error",1032
Indiana,CURRENT DOLLARS,1995 ,"Median
income",33385
Indiana,CURRENT DOLLARS,1995 ,"Standard
error",1444
Indiana,CURRENT DOLLARS,1999 ,"Median
income",40838
Indiana,CURRENT DOLLARS,1999 ,"Standard
error",1719
Indiana,CURRENT DOLLARS,2000 ,"Median
income",40865
Indiana,CURRENT DOLLARS,2000 ,"Standard
error",679
Indiana,CURRENT DOLLARS,2004,"Median
income",42329
Indiana,CURRENT DOLLARS,2004,"Standard
error",1151
Indiana,CURRENT DOLLARS,2009 ,"Median
income",44305
Indiana,CURRENT DOLLARS,2009 ,"Standard
error",1085
Indiana,CURRENT DOLLARS,2010 ,"Median
income",46139
Indiana,CURRENT DOLLARS,2010 ,"Standard
error",2573
Indiana,CURRENT DOLLARS,2013 ,"Median
income",50553
Indiana,CURRENT DOLLARS,2013 ,"Standard
error",3220
Indiana,CURRENT DOLLARS,2013 ,"Median
income",49455
Indiana,CURRENT DOLLARS,2013 ,"Standard
error",4508
Iowa,CURRENT DOLLARS,1986,"Median
income",22459
Iowa,CURRENT DOLLARS,1986,"Standard
error",750
Iowa,CURRENT DOLLARS,1988,"Median
income",24305
Iowa,CURRENT DOLLARS,1988,"Standard
error",1078
Iowa,CURRENT DOLLARS,1989,"Median
income",26265
Iowa,CURRENT DOLLARS,1989,"Standard
error",792
Iowa,CURRENT DOLLARS,1990,"Median
income",27288
Iowa,CURRENT DOLLARS,1990,"Standard
error",986
Iowa,CURRENT DOLLARS,1991,"Median
income",28553
Iowa,CURRENT DOLLARS,1991,"Standard
error",1012
Iowa,CURRENT DOLLARS,1996,"Median
income",33209
Iowa,CURRENT DOLLARS,1996,"Standard
error",1527
Iowa,CURRENT DOLLARS,1997,"Median
income",33783
Iowa,CURRENT DOLLARS,1997,"Standard
error",1282
Iowa,CURRENT DOLLARS,1998,"Median
income",37019
Iowa,CURRENT DOLLARS,1998,"Standard
error",1202
Iowa,CURRENT DOLLARS,2001,"Median
income",40976
Iowa,CURRENT DOLLARS,2001,"Standard
error",1133
Iowa,CURRENT DOLLARS,2002,"Median
income",41049
Iowa,CURRENT DOLLARS,2002,"Standard
error",1152
Iowa,CURRENT DOLLARS,2003,"Median
income",41384
Iowa,CURRENT DOLLARS,2003,"Standard
error",884
Iowa,CURRENT DOLLARS,2005,"Median
income",46500
Iowa,CURRENT DOLLARS,2005,"Standard
error",1339
Iowa,CURRENT DOLLARS,2006,"Median
income",48126
Iowa,CURRENT DOLLARS,2006,"Standard
error",1491
Iowa,CURRENT DOLLARS,2007,"Median
income",48908
Iowa,CURRENT DOLLARS,2007,"Standard
error",1451
Iowa,CURRENT DOLLARS,2008,"Median
income",50142
Iowa,CURRENT DOLLARS,2008,"Standard
error",1293
Iowa,CURRENT DOLLARS,2011,"Median
income",50219
Iowa,CURRENT DOLLARS,2011,"Standard
error",1974
Iowa,CURRENT DOLLARS,2012,"Median
income",53442
Iowa,CURRENT DOLLARS,2012,"Standard
error",2138
Iowa,CURRENT DOLLARS,2014,"Median
income",57810
Iowa,CURRENT DOLLARS,2014,"Standard
error",3425
Iowa,CURRENT DOLLARS,2015,"Median
income",60855
Iowa,CURRENT DOLLARS,2015,"Standard
error",3275
Iowa,CURRENT DOLLARS,2016,"Median
income",59094
Iowa,CURRENT DOLLARS,2016,"Standard
error",2484
Iowa,CURRENT DOLLARS,2017,"Median
income",63481
Iowa,CURRENT DOLLARS,2017,"Standard
error",5512
Iowa,CURRENT DOLLARS,1984 ,"Median
income",19863
Iowa,CURRENT DOLLARS,1984 ,"Standard
error",745
Iowa,CURRENT DOLLARS,1985 ,"Median
income",20927
Iowa,CURRENT DOLLARS,1985 ,"Standard
error",604
Iowa,CURRENT DOLLARS,1987 ,"Median
income",22190
Iowa,CURRENT DOLLARS,1987 ,"Standard
error",912
Iowa,CURRENT DOLLARS,1992 ,"Median
income",28743
Iowa,CURRENT DOLLARS,1992 ,"Standard
error",972
Iowa,CURRENT DOLLARS,1993 ,"Median
income",28663
Iowa,CURRENT DOLLARS,1993 ,"Standard
error",1240
Iowa,CURRENT DOLLARS,1994 ,"Median
income",33079
Iowa,CURRENT DOLLARS,1994 ,"Standard
error",1280
Iowa,CURRENT DOLLARS,1995 ,"Median
income",35519
Iowa,CURRENT DOLLARS,1995 ,"Standard
error",942
Iowa,CURRENT DOLLARS,1999 ,"Median
income",41098
Iowa,CURRENT DOLLARS,1999 ,"Standard
error",1130
Iowa,CURRENT DOLLARS,2000 ,"Median
income",40991
Iowa,CURRENT DOLLARS,2000 ,"Standard
error",811
Iowa,CURRENT DOLLARS,2004,"Median
income",43391
Iowa,CURRENT DOLLARS,2004,"Standard
error",1521
Iowa,CURRENT DOLLARS,2009 ,"Median
income",50721
Iowa,CURRENT DOLLARS,2009 ,"Standard
error",1535
Iowa,CURRENT DOLLARS,2010 ,"Median
income",49016
Iowa,CURRENT DOLLARS,2010 ,"Standard
error",1342
Iowa,CURRENT DOLLARS,2013 ,"Median
income",54855
Iowa,CURRENT DOLLARS,2013 ,"Standard
error",1967
Iowa,CURRENT DOLLARS,2013 ,"Median
income",60156
Iowa,CURRENT DOLLARS,2013 ,"Standard
error",6134
Kansas,CURRENT DOLLARS,1986,"Median
income",23926
Kansas,CURRENT DOLLARS,1986,"Standard
error",782
Kansas,CURRENT DOLLARS,1988,"Median
income",25566
Kansas,CURRENT DOLLARS,1988,"Standard
error",1153
Kansas,CURRENT DOLLARS,1989,"Median
income",26862
Kansas,CURRENT DOLLARS,1989,"Standard
error",908
Kansas,CURRENT DOLLARS,1990,"Median
income",29917
Kansas,CURRENT DOLLARS,1990,"Standard
error",1179
Kansas,CURRENT DOLLARS,1991,"Median
income",29295
Kansas,CURRENT DOLLARS,1991,"Standard
error",934
Kansas,CURRENT DOLLARS,1996,"Median
income",32585
Kansas,CURRENT DOLLARS,1996,"Standard
error",1460
Kansas,CURRENT DOLLARS,1997,"Median
income",36471
Kansas,CURRENT DOLLARS,1997,"Standard
error",1614
Kansas,CURRENT DOLLARS,1998,"Median
income",36711
Kansas,CURRENT DOLLARS,1998,"Standard
error",1617
Kansas,CURRENT DOLLARS,2001,"Median
income",41415
Kansas,CURRENT DOLLARS,2001,"Standard
error",1115
Kansas,CURRENT DOLLARS,2002,"Median
income",42619
Kansas,CURRENT DOLLARS,2002,"Standard
error",1047
Kansas,CURRENT DOLLARS,2003,"Median
income",44232
Kansas,CURRENT DOLLARS,2003,"Standard
error",1326
Kansas,CURRENT DOLLARS,2005,"Median
income",42027
Kansas,CURRENT DOLLARS,2005,"Standard
error",985
Kansas,CURRENT DOLLARS,2006,"Median
income",45552
Kansas,CURRENT DOLLARS,2006,"Standard
error",1252
Kansas,CURRENT DOLLARS,2007,"Median
income",48497
Kansas,CURRENT DOLLARS,2007,"Standard
error",1805
Kansas,CURRENT DOLLARS,2008,"Median
income",47877
Kansas,CURRENT DOLLARS,2008,"Standard
error",1410
Kansas,CURRENT DOLLARS,2011,"Median
income",46147
Kansas,CURRENT DOLLARS,2011,"Standard
error",1950
Kansas,CURRENT DOLLARS,2012,"Median
income",50003
Kansas,CURRENT DOLLARS,2012,"Standard
error",1812
Kansas,CURRENT DOLLARS,2014,"Median
income",53444
Kansas,CURRENT DOLLARS,2014,"Standard
error",2863
Kansas,CURRENT DOLLARS,2015,"Median
income",54865
Kansas,CURRENT DOLLARS,2015,"Standard
error",3731
Kansas,CURRENT DOLLARS,2016,"Median
income",56810
Kansas,CURRENT DOLLARS,2016,"Standard
error",3268
Kansas,CURRENT DOLLARS,2017,"Median
income",57872
Kansas,CURRENT DOLLARS,2017,"Standard
error",2898
Kansas,CURRENT DOLLARS,1984 ,"Median
income",24629
Kansas,CURRENT DOLLARS,1984 ,"Standard
error",912
Kansas,CURRENT DOLLARS,1985 ,"Median
income",22788
Kansas,CURRENT DOLLARS,1985 ,"Standard
error",1033
Kansas,CURRENT DOLLARS,1987 ,"Median
income",25583
Kansas,CURRENT DOLLARS,1987 ,"Standard
error",900
Kansas,CURRENT DOLLARS,1992 ,"Median
income",30346
Kansas,CURRENT DOLLARS,1992 ,"Standard
error",1137
Kansas,CURRENT DOLLARS,1993 ,"Median
income",29770
Kansas,CURRENT DOLLARS,1993 ,"Standard
error",1144
Kansas,CURRENT DOLLARS,1994 ,"Median
income",28322
Kansas,CURRENT DOLLARS,1994 ,"Standard
error",1064
Kansas,CURRENT DOLLARS,1995 ,"Median
income",30341
Kansas,CURRENT DOLLARS,1995 ,"Standard
error",921
Kansas,CURRENT DOLLARS,1999 ,"Median
income",37348
Kansas,CURRENT DOLLARS,1999 ,"Standard
error",2078
Kansas,CURRENT DOLLARS,2000 ,"Median
income",41059
Kansas,CURRENT DOLLARS,2000 ,"Standard
error",1168
Kansas,CURRENT DOLLARS,2004,"Median
income",41066
Kansas,CURRENT DOLLARS,2004,"Standard
error",1749
Kansas,CURRENT DOLLARS,2009 ,"Median
income",44717
Kansas,CURRENT DOLLARS,2009 ,"Standard
error",1788
Kansas,CURRENT DOLLARS,2010 ,"Median
income",46054
Kansas,CURRENT DOLLARS,2010 ,"Standard
error",1816
Kansas,CURRENT DOLLARS,2013 ,"Median
income",51485
Kansas,CURRENT DOLLARS,2013 ,"Standard
error",1498
Kansas,CURRENT DOLLARS,2013 ,"Median
income",47820
Kansas,CURRENT DOLLARS,2013 ,"Standard
error",4496
Kentucky,CURRENT DOLLARS,1986,"Median
income",19874
Kentucky,CURRENT DOLLARS,1986,"Standard
error",1006
Kentucky,CURRENT DOLLARS,1988,"Median
income",19907
Kentucky,CURRENT DOLLARS,1988,"Standard
error",801
Kentucky,CURRENT DOLLARS,1989,"Median
income",23283
Kentucky,CURRENT DOLLARS,1989,"Standard
error",1206
Kentucky,CURRENT DOLLARS,1990,"Median
income",24780
Kentucky,CURRENT DOLLARS,1990,"Standard
error",1213
Kentucky,CURRENT DOLLARS,1991,"Median
income",23764
Kentucky,CURRENT DOLLARS,1991,"Standard
error",1046
Kentucky,CURRENT DOLLARS,1996,"Median
income",32413
Kentucky,CURRENT DOLLARS,1996,"Standard
error",1439
Kentucky,CURRENT DOLLARS,1997,"Median
income",33452
Kentucky,CURRENT DOLLARS,1997,"Standard
error",1659
Kentucky,CURRENT DOLLARS,1998,"Median
income",36252
Kentucky,CURRENT DOLLARS,1998,"Standard
error",1511
Kentucky,CURRENT DOLLARS,2001,"Median
income",38437
Kentucky,CURRENT DOLLARS,2001,"Standard
error",1009
Kentucky,CURRENT DOLLARS,2002,"Median
income",36762
Kentucky,CURRENT DOLLARS,2002,"Standard
error",874
Kentucky,CURRENT DOLLARS,2003,"Median
income",36936
Kentucky,CURRENT DOLLARS,2003,"Standard
error",857
Kentucky,CURRENT DOLLARS,2005,"Median
income",36699
Kentucky,CURRENT DOLLARS,2005,"Standard
error",898
Kentucky,CURRENT DOLLARS,2006,"Median
income",39485
Kentucky,CURRENT DOLLARS,2006,"Standard
error",1051
Kentucky,CURRENT DOLLARS,2007,"Median
income",39452
Kentucky,CURRENT DOLLARS,2007,"Standard
error",1211
Kentucky,CURRENT DOLLARS,2008,"Median
income",41148
Kentucky,CURRENT DOLLARS,2008,"Standard
error",812
Kentucky,CURRENT DOLLARS,2011,"Median
income",39856
Kentucky,CURRENT DOLLARS,2011,"Standard
error",1847
Kentucky,CURRENT DOLLARS,2012,"Median
income",41086
Kentucky,CURRENT DOLLARS,2012,"Standard
error",1900
Kentucky,CURRENT DOLLARS,2014,"Median
income",42786
Kentucky,CURRENT DOLLARS,2014,"Standard
error",1580
Kentucky,CURRENT DOLLARS,2015,"Median
income",42387
Kentucky,CURRENT DOLLARS,2015,"Standard
error",2269
Kentucky,CURRENT DOLLARS,2016,"Median
income",45369
Kentucky,CURRENT DOLLARS,2016,"Standard
error",2005
Kentucky,CURRENT DOLLARS,2017,"Median
income",51348
Kentucky,CURRENT DOLLARS,2017,"Standard
error",1364
Kentucky,CURRENT DOLLARS,1984 ,"Median
income",17680
Kentucky,CURRENT DOLLARS,1984 ,"Standard
error",1079
Kentucky,CURRENT DOLLARS,1985 ,"Median
income",17361
Kentucky,CURRENT DOLLARS,1985 ,"Standard
error",748
Kentucky,CURRENT DOLLARS,1987 ,"Median
income",20673
Kentucky,CURRENT DOLLARS,1987 ,"Standard
error",939
Kentucky,CURRENT DOLLARS,1992 ,"Median
income",23485
Kentucky,CURRENT DOLLARS,1992 ,"Standard
error",1259
Kentucky,CURRENT DOLLARS,1993 ,"Median
income",24376
Kentucky,CURRENT DOLLARS,1993 ,"Standard
error",1091
Kentucky,CURRENT DOLLARS,1994 ,"Median
income",26595
Kentucky,CURRENT DOLLARS,1994 ,"Standard
error",1028
Kentucky,CURRENT DOLLARS,1995 ,"Median
income",29810
Kentucky,CURRENT DOLLARS,1995 ,"Standard
error",1149
Kentucky,CURRENT DOLLARS,1999 ,"Median
income",33738
Kentucky,CURRENT DOLLARS,1999 ,"Standard
error",1484
Kentucky,CURRENT DOLLARS,2000 ,"Median
income",36265
Kentucky,CURRENT DOLLARS,2000 ,"Standard
error",848
Kentucky,CURRENT DOLLARS,2004,"Median
income",35610
Kentucky,CURRENT DOLLARS,2004,"Standard
error",1218
Kentucky,CURRENT DOLLARS,2009 ,"Median
income",42664
Kentucky,CURRENT DOLLARS,2009 ,"Standard
error",1313
Kentucky,CURRENT DOLLARS,2010 ,"Median
income",41104
Kentucky,CURRENT DOLLARS,2010 ,"Standard
error",2823
Kentucky,CURRENT DOLLARS,2013 ,"Median
income",42158
Kentucky,CURRENT DOLLARS,2013 ,"Standard
error",1874
Kentucky,CURRENT DOLLARS,2013 ,"Median
income",44879
Kentucky,CURRENT DOLLARS,2013 ,"Standard
error",3924
Louisiana,CURRENT DOLLARS,1986,"Median
income",20890
Louisiana,CURRENT DOLLARS,1986,"Standard
error",956
Louisiana,CURRENT DOLLARS,1988,"Median
income",20497
Louisiana,CURRENT DOLLARS,1988,"Standard
error",1474
Louisiana,CURRENT DOLLARS,1989,"Median
income",22861
Louisiana,CURRENT DOLLARS,1989,"Standard
error",1857
Louisiana,CURRENT DOLLARS,1990,"Median
income",22405
Louisiana,CURRENT DOLLARS,1990,"Standard
error",1580
Louisiana,CURRENT DOLLARS,1991,"Median
income",25299
Louisiana,CURRENT DOLLARS,1991,"Standard
error",1156
Louisiana,CURRENT DOLLARS,1996,"Median
income",30262
Louisiana,CURRENT DOLLARS,1996,"Standard
error",1290
Louisiana,CURRENT DOLLARS,1997,"Median
income",33260
Louisiana,CURRENT DOLLARS,1997,"Standard
error",1551
Louisiana,CURRENT DOLLARS,1998,"Median
income",31735
Louisiana,CURRENT DOLLARS,1998,"Standard
error",1660
Louisiana,CURRENT DOLLARS,2001,"Median
income",33322
Louisiana,CURRENT DOLLARS,2001,"Standard
error",1195
Louisiana,CURRENT DOLLARS,2002,"Median
income",34008
Louisiana,CURRENT DOLLARS,2002,"Standard
error",1258
Louisiana,CURRENT DOLLARS,2003,"Median
income",33507
Louisiana,CURRENT DOLLARS,2003,"Standard
error",1103
Louisiana,CURRENT DOLLARS,2005,"Median
income",37236
Louisiana,CURRENT DOLLARS,2005,"Standard
error",1297
Louisiana,CURRENT DOLLARS,2006,"Median
income",36488
Louisiana,CURRENT DOLLARS,2006,"Standard
error",1425
Louisiana,CURRENT DOLLARS,2007,"Median
income",41313
Louisiana,CURRENT DOLLARS,2007,"Standard
error",937
Louisiana,CURRENT DOLLARS,2008,"Median
income",39563
Louisiana,CURRENT DOLLARS,2008,"Standard
error",1486
Louisiana,CURRENT DOLLARS,2011,"Median
income",40658
Louisiana,CURRENT DOLLARS,2011,"Standard
error",1929
Louisiana,CURRENT DOLLARS,2012,"Median
income",39085
Louisiana,CURRENT DOLLARS,2012,"Standard
error",1611
Louisiana,CURRENT DOLLARS,2014,"Median
income",42406
Louisiana,CURRENT DOLLARS,2014,"Standard
error",1862
Louisiana,CURRENT DOLLARS,2015,"Median
income",45922
Louisiana,CURRENT DOLLARS,2015,"Standard
error",2140
Louisiana,CURRENT DOLLARS,2016,"Median
income",42196
Louisiana,CURRENT DOLLARS,2016,"Standard
error",1197
Louisiana,CURRENT DOLLARS,2017,"Median
income",43903
Louisiana,CURRENT DOLLARS,2017,"Standard
error",1453
Louisiana,CURRENT DOLLARS,1984 ,"Median
income",18949
Louisiana,CURRENT DOLLARS,1984 ,"Standard
error",880
Louisiana,CURRENT DOLLARS,1985 ,"Median
income",21179
Louisiana,CURRENT DOLLARS,1985 ,"Standard
error",728
Louisiana,CURRENT DOLLARS,1987 ,"Median
income",21349
Louisiana,CURRENT DOLLARS,1987 ,"Standard
error",858
Louisiana,CURRENT DOLLARS,1992 ,"Median
income",25439
Louisiana,CURRENT DOLLARS,1992 ,"Standard
error",1142
Louisiana,CURRENT DOLLARS,1993 ,"Median
income",26312
Louisiana,CURRENT DOLLARS,1993 ,"Standard
error",1164
Louisiana,CURRENT DOLLARS,1994 ,"Median
income",25676
Louisiana,CURRENT DOLLARS,1994 ,"Standard
error",1501
Louisiana,CURRENT DOLLARS,1995 ,"Median
income",27949
Louisiana,CURRENT DOLLARS,1995 ,"Standard
error",1090
Louisiana,CURRENT DOLLARS,1999 ,"Median
income",32654
Louisiana,CURRENT DOLLARS,1999 ,"Standard
error",1244
Louisiana,CURRENT DOLLARS,2000 ,"Median
income",30718
Louisiana,CURRENT DOLLARS,2000 ,"Standard
error",828
Louisiana,CURRENT DOLLARS,2004,"Median
income",36429
Louisiana,CURRENT DOLLARS,2004,"Standard
error",1243
Louisiana,CURRENT DOLLARS,2009 ,"Median
income",45433
Louisiana,CURRENT DOLLARS,2009 ,"Standard
error",1813
Louisiana,CURRENT DOLLARS,2010 ,"Median
income",39300
Louisiana,CURRENT DOLLARS,2010 ,"Standard
error",3248
Louisiana,CURRENT DOLLARS,2013 ,"Median
income",39622
Louisiana,CURRENT DOLLARS,2013 ,"Standard
error",2857
Louisiana,CURRENT DOLLARS,2013 ,"Median
income",46425
Louisiana,CURRENT DOLLARS,2013 ,"Standard
error",2543
Maine,CURRENT DOLLARS,1986,"Median
income",23424
Maine,CURRENT DOLLARS,1986,"Standard
error",970
Maine,CURRENT DOLLARS,1988,"Median
income",26402
Maine,CURRENT DOLLARS,1988,"Standard
error",942
Maine,CURRENT DOLLARS,1989,"Median
income",28221
Maine,CURRENT DOLLARS,1989,"Standard
error",1389
Maine,CURRENT DOLLARS,1990,"Median
income",27464
Maine,CURRENT DOLLARS,1990,"Standard
error",1572
Maine,CURRENT DOLLARS,1991,"Median
income",27868
Maine,CURRENT DOLLARS,1991,"Standard
error",1253
Maine,CURRENT DOLLARS,1996,"Median
income",34696
Maine,CURRENT DOLLARS,1996,"Standard
error",1211
Maine,CURRENT DOLLARS,1997,"Median
income",32772
Maine,CURRENT DOLLARS,1997,"Standard
error",1301
Maine,CURRENT DOLLARS,1998,"Median
income",35640
Maine,CURRENT DOLLARS,1998,"Standard
error",1049
Maine,CURRENT DOLLARS,2001,"Median
income",36612
Maine,CURRENT DOLLARS,2001,"Standard
error",952
Maine,CURRENT DOLLARS,2002,"Median
income",36853
Maine,CURRENT DOLLARS,2002,"Standard
error",846
Maine,CURRENT DOLLARS,2003,"Median
income",37113
Maine,CURRENT DOLLARS,2003,"Standard
error",945
Maine,CURRENT DOLLARS,2005,"Median
income",43923
Maine,CURRENT DOLLARS,2005,"Standard
error",1433
Maine,CURRENT DOLLARS,2006,"Median
income",45642
Maine,CURRENT DOLLARS,2006,"Standard
error",1797
Maine,CURRENT DOLLARS,2007,"Median
income",47894
Maine,CURRENT DOLLARS,2007,"Standard
error",1398
Maine,CURRENT DOLLARS,2008,"Median
income",47228
Maine,CURRENT DOLLARS,2008,"Standard
error",1436
Maine,CURRENT DOLLARS,2011,"Median
income",49693
Maine,CURRENT DOLLARS,2011,"Standard
error",1983
Maine,CURRENT DOLLARS,2012,"Median
income",49158
Maine,CURRENT DOLLARS,2012,"Standard
error",2247
Maine,CURRENT DOLLARS,2014,"Median
income",51710
Maine,CURRENT DOLLARS,2014,"Standard
error",2171
Maine,CURRENT DOLLARS,2015,"Median
income",50756
Maine,CURRENT DOLLARS,2015,"Standard
error",1929
Maine,CURRENT DOLLARS,2016,"Median
income",50856
Maine,CURRENT DOLLARS,2016,"Standard
error",3346
Maine,CURRENT DOLLARS,2017,"Median
income",51664
Maine,CURRENT DOLLARS,2017,"Standard
error",2146
Maine,CURRENT DOLLARS,1984 ,"Median
income",20648
Maine,CURRENT DOLLARS,1984 ,"Standard
error",884
Maine,CURRENT DOLLARS,1985 ,"Median
income",20519
Maine,CURRENT DOLLARS,1985 ,"Standard
error",803
Maine,CURRENT DOLLARS,1987 ,"Median
income",23600
Maine,CURRENT DOLLARS,1987 ,"Standard
error",1019
Maine,CURRENT DOLLARS,1992 ,"Median
income",29617
Maine,CURRENT DOLLARS,1992 ,"Standard
error",1026
Maine,CURRENT DOLLARS,1993 ,"Median
income",27438
Maine,CURRENT DOLLARS,1993 ,"Standard
error",1203
Maine,CURRENT DOLLARS,1994 ,"Median
income",30316
Maine,CURRENT DOLLARS,1994 ,"Standard
error",1537
Maine,CURRENT DOLLARS,1995 ,"Median
income",33858
Maine,CURRENT DOLLARS,1995 ,"Standard
error",1088
Maine,CURRENT DOLLARS,1999 ,"Median
income",38862
Maine,CURRENT DOLLARS,1999 ,"Standard
error",1319
Maine,CURRENT DOLLARS,2000 ,"Median
income",37266
Maine,CURRENT DOLLARS,2000 ,"Standard
error",853
Maine,CURRENT DOLLARS,2004,"Median
income",41329
Maine,CURRENT DOLLARS,2004,"Standard
error",1223
Maine,CURRENT DOLLARS,2009 ,"Median
income",47502
Maine,CURRENT DOLLARS,2009 ,"Standard
error",1739
Maine,CURRENT DOLLARS,2010 ,"Median
income",47931
Maine,CURRENT DOLLARS,2010 ,"Standard
error",1687
Maine,CURRENT DOLLARS,2013 ,"Median
income",50121
Maine,CURRENT DOLLARS,2013 ,"Standard
error",1953
Maine,CURRENT DOLLARS,2013 ,"Median
income",54957
Maine,CURRENT DOLLARS,2013 ,"Standard
error",3863
Maryland,CURRENT DOLLARS,1986,"Median
income",30604
Maryland,CURRENT DOLLARS,1986,"Standard
error",1036
Maryland,CURRENT DOLLARS,1988,"Median
income",36552
Maryland,CURRENT DOLLARS,1988,"Standard
error",1196
Maryland,CURRENT DOLLARS,1989,"Median
income",36016
Maryland,CURRENT DOLLARS,1989,"Standard
error",1187
Maryland,CURRENT DOLLARS,1990,"Median
income",38857
Maryland,CURRENT DOLLARS,1990,"Standard
error",1596
Maryland,CURRENT DOLLARS,1991,"Median
income",36952
Maryland,CURRENT DOLLARS,1991,"Standard
error",1417
Maryland,CURRENT DOLLARS,1996,"Median
income",43993
Maryland,CURRENT DOLLARS,1996,"Standard
error",2565
Maryland,CURRENT DOLLARS,1997,"Median
income",46685
Maryland,CURRENT DOLLARS,1997,"Standard
error",1476
Maryland,CURRENT DOLLARS,1998,"Median
income",50016
Maryland,CURRENT DOLLARS,1998,"Standard
error",2161
Maryland,CURRENT DOLLARS,2001,"Median
income",53530
Maryland,CURRENT DOLLARS,2001,"Standard
error",1652
Maryland,CURRENT DOLLARS,2002,"Median
income",56407
Maryland,CURRENT DOLLARS,2002,"Standard
error",1532
Maryland,CURRENT DOLLARS,2003,"Median
income",52314
Maryland,CURRENT DOLLARS,2003,"Standard
error",1223
Maryland,CURRENT DOLLARS,2005,"Median
income",60512
Maryland,CURRENT DOLLARS,2005,"Standard
error",1477
Maryland,CURRENT DOLLARS,2006,"Median
income",63668
Maryland,CURRENT DOLLARS,2006,"Standard
error",1601
Maryland,CURRENT DOLLARS,2007,"Median
income",65630
Maryland,CURRENT DOLLARS,2007,"Standard
error",1661
Maryland,CURRENT DOLLARS,2008,"Median
income",63711
Maryland,CURRENT DOLLARS,2008,"Standard
error",1769
Maryland,CURRENT DOLLARS,2011,"Median
income",68876
Maryland,CURRENT DOLLARS,2011,"Standard
error",2125
Maryland,CURRENT DOLLARS,2012,"Median
income",71836
Maryland,CURRENT DOLLARS,2012,"Standard
error",1851
Maryland,CURRENT DOLLARS,2014,"Median
income",76165
Maryland,CURRENT DOLLARS,2014,"Standard
error",4272
Maryland,CURRENT DOLLARS,2015,"Median
income",73594
Maryland,CURRENT DOLLARS,2015,"Standard
error",2692
Maryland,CURRENT DOLLARS,2016,"Median
income",73760
Maryland,CURRENT DOLLARS,2016,"Standard
error",2591
Maryland,CURRENT DOLLARS,2017,"Median
income",81084
Maryland,CURRENT DOLLARS,2017,"Standard
error",3652
Maryland,CURRENT DOLLARS,1984 ,"Median
income",29708
Maryland,CURRENT DOLLARS,1984 ,"Standard
error",1151
Maryland,CURRENT DOLLARS,1985 ,"Median
income",30136
Maryland,CURRENT DOLLARS,1985 ,"Standard
error",966
Maryland,CURRENT DOLLARS,1987 ,"Median
income",34970
Maryland,CURRENT DOLLARS,1987 ,"Standard
error",1388
Maryland,CURRENT DOLLARS,1992 ,"Median
income",37203
Maryland,CURRENT DOLLARS,1992 ,"Standard
error",1626
Maryland,CURRENT DOLLARS,1993 ,"Median
income",39939
Maryland,CURRENT DOLLARS,1993 ,"Standard
error",1282
Maryland,CURRENT DOLLARS,1994 ,"Median
income",39198
Maryland,CURRENT DOLLARS,1994 ,"Standard
error",1400
Maryland,CURRENT DOLLARS,1995 ,"Median
income",41041
Maryland,CURRENT DOLLARS,1995 ,"Standard
error",1627
Maryland,CURRENT DOLLARS,1999 ,"Median
income",52205
Maryland,CURRENT DOLLARS,1999 ,"Standard
error",2217
Maryland,CURRENT DOLLARS,2000 ,"Median
income",54535
Maryland,CURRENT DOLLARS,2000 ,"Standard
error",1400
Maryland,CURRENT DOLLARS,2004,"Median
income",57103
Maryland,CURRENT DOLLARS,2004,"Standard
error",1692
Maryland,CURRENT DOLLARS,2009 ,"Median
income",64186
Maryland,CURRENT DOLLARS,2009 ,"Standard
error",1674
Maryland,CURRENT DOLLARS,2010 ,"Median
income",64201
Maryland,CURRENT DOLLARS,2010 ,"Standard
error",2297
